sheet,cell,column_role,old_value,new_value,reason
Table 1,D28,P-value (Before PSM),0.007,-,either cohort count ≤10 (min=10)
Table 1,E28,ASD (Before PSM),0.126,-,either cohort count ≤10 (min=10)
Table 1,B28,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H28,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I28,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F28,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G28,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D29,P-value (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,E29,ASD (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,B29,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C29,Cohort 2 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H29,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I29,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F29,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G29,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D30,P-value (Before PSM),0.005,-,either cohort count ≤10 (min=10)
Table 1,E30,ASD (Before PSM),0.131,-,either cohort count ≤10 (min=10)
Table 1,B30,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H30,P-value (After PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,I30,ASD (After PSM),0.251,-,either cohort count ≤10 (min=0)
Table 1,F30,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G30,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H31,P-value (After PSM),0.824,-,either cohort count ≤10 (min=10)
Table 1,I31,ASD (After PSM),0.017,-,either cohort count ≤10 (min=10)
Table 1,G31,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D34,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
Table 1,E34,ASD (Before PSM),0.101,-,either cohort count ≤10 (min=0)
Table 1,B34,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C34,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H34,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I34,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F34,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G34,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D35,P-value (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,E35,ASD (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,B35,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C35,Cohort 2 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H35,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I35,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F35,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G35,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D36,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
Table 1,E36,ASD (Before PSM),0.101,-,either cohort count ≤10 (min=0)
Table 1,B36,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C36,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H36,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I36,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F36,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G36,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D37,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
Table 1,E37,ASD (Before PSM),0.101,-,either cohort count ≤10 (min=0)
Table 1,B37,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C37,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H37,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I37,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F37,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G37,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D38,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,E38,ASD (Before PSM),0.172,-,either cohort count ≤10 (min=10)
Table 1,B38,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,C38,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H38,P-value (After PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,I38,ASD (After PSM),0.251,-,either cohort count ≤10 (min=0)
Table 1,F38,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G38,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D41,P-value (Before PSM),0.265,-,either cohort count ≤10 (min=10)
Table 1,E41,ASD (Before PSM),0.059,-,either cohort count ≤10 (min=10)
Table 1,B41,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H41,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I41,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F41,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G41,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D42,P-value (Before PSM),0.728,-,either cohort count ≤10 (min=10)
Table 1,E42,ASD (Before PSM),0.019,-,either cohort count ≤10 (min=10)
Table 1,B42,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H42,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I42,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F42,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G42,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D43,P-value (Before PSM),0.589,-,either cohort count ≤10 (min=10)
Table 1,E43,ASD (Before PSM),0.029,-,either cohort count ≤10 (min=10)
Table 1,B43,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H43,P-value (After PSM),0.524,-,either cohort count ≤10 (min=10)
Table 1,I43,ASD (After PSM),0.050,-,either cohort count ≤10 (min=10)
Table 1,F43,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D45,P-value (Before PSM),0.164,-,either cohort count ≤10 (min=0)
Table 1,E45,ASD (Before PSM),0.101,-,either cohort count ≤10 (min=0)
Table 1,B45,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C45,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H45,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I45,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F45,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G45,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D46,P-value (Before PSM),0.202,-,either cohort count ≤10 (min=10)
Table 1,E46,ASD (Before PSM),0.066,-,either cohort count ≤10 (min=10)
Table 1,B46,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,H46,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I46,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F46,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G46,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D47,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,E47,ASD (Before PSM),0.172,-,either cohort count ≤10 (min=10)
Table 1,B47,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,C47,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H47,P-value (After PSM),0.001,-,either cohort count ≤10 (min=0)
Table 1,I47,ASD (After PSM),0.251,-,either cohort count ≤10 (min=0)
Table 1,F47,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G47,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H48,P-value (After PSM),0.664,-,either cohort count ≤10 (min=10)
Table 1,I48,ASD (After PSM),0.034,-,either cohort count ≤10 (min=10)
Table 1,F48,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D49,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,E49,ASD (Before PSM),0.172,-,either cohort count ≤10 (min=10)
Table 1,B49,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,C49,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H49,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
Table 1,I49,ASD (After PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,F49,Cohort 1 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,G49,Cohort 2 count (After PSM),3.0% (10),3.0% (≤10),count 10 ≤10
Table 1,D52,P-value (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,E52,ASD (Before PSM),--,-,either cohort count ≤10 (min=0)
Table 1,B52,Cohort 1 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,C52,Cohort 2 count (Before PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,H52,P-value (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,I52,ASD (After PSM),--,-,either cohort count ≤10 (min=0)
Table 1,F52,Cohort 1 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,G52,Cohort 2 count (After PSM),0% (0),0% (≤10),count 0 ≤10
Table 1,D53,P-value (Before PSM),<0.001,-,either cohort count ≤10 (min=10)
Table 1,E53,ASD (Before PSM),0.172,-,either cohort count ≤10 (min=10)
Table 1,B53,Cohort 1 count (Before PSM),2.7% (10),2.7% (≤10),count 10 ≤10
Table 1,C53,Cohort 2 count (Before PSM),0.5% (10),0.5% (≤10),count 10 ≤10
Table 1,H53,P-value (After PSM),1,-,either cohort count ≤10 (min=10)
